Keyword,Search Volume,Keyword Difficulty,Competition Level,Intent,Brand Ranking,Competitor Ranking,Notes
best foundation for oily skin,18000,45,High,Consideration,8,3,Competitor ranks much better
makeup tutorial for beginners,35000,28,Medium,Awareness,12,1,Large gap - content opportunity
long lasting lipstick,22000,52,High,Purchase,5,2,Strong purchase intent
how to apply eyeshadow,42000,15,Low,Awareness,,,Quick win opportunity - no rankings yet
professional makeup brushes,8500,38,Medium,Purchase,3,5,We rank better
makeup primer benefits,12000,22,Low,Awareness,,,Content gap - competitor at rank 4
waterproof mascara reviews,15000,48,High,Consideration,15,,We rank but poorly
foundation shade finder,9200,35,Medium,Consideration,6,1,Competitor dominates
makeup remover for sensitive skin,7800,42,Medium,Purchase,,,Neither brand ranks - opportunity
eyebrow pencil vs powder,5400,18,Low,Awareness,9,12,Both rank poorly
best makeup for mature skin,11000,55,High,Consideration,,,Content gap - competitor at rank 2
cruelty free makeup brands,28000,32,Medium,Awareness,18,3,Major ranking gap
makeup setting spray comparison,6700,29,Low,Purchase,4,8,We rank better
natural makeup look tutorial,31000,25,Medium,Awareness,,,Quick win - no current ranking
professional makeup kit essentials,4200,65,High,Purchase,2,1,High difficulty but strong position
