Platform,Post URL,Post Type,Caption,Hashtags,Posting Date,Likes,Comments,Shares,Saves,Views,Engagement Rate (%),Sentiment,Key Themes,Notes
TikTok,https://tiktok.com/post1,Tutorial,How to apply foundation perfectly,#makeup #tutorial #beauty,2024-01-15,2500,180,95,420,45000,7.1,Positive,Education,Strong engagement
Instagram,https://instagram.com/post2,UGC,Customer review - love this lipstick!,#review #lipstick #mufe,2024-01-16,890,45,12,78,8500,12.1,Positive,Social Proof,High save rate
Facebook,https://facebook.com/post3,Product Demo,New primer launch - see the difference,#primer #launch #skincare,2024-01-17,450,32,8,55,5200,10.5,Positive,Product Launch,Good response
TikTok,https://tiktok.com/post4,Tutorial,Common makeup mistakes to avoid,#mistakes #tips #howto,2024-01-18,3200,245,125,580,52000,7.6,Positive,Education,Viral potential
Instagram,https://instagram.com/post5,Product Demo,Foundation shade match guide,#foundation #shadematch #tutorial,2024-01-19,1200,89,34,145,15000,9.8,Positive,Education,Strong engagement
Facebook,https://facebook.com/post6,UGC,Customer transformation photos,#beforeafter #transformation,2024-01-20,320,18,5,22,3800,9.6,Negative,Social Proof,Some complaints in comments
TikTok,https://tiktok.com/post7,Product Demo,Lipstick staying power test,#lipstick #longlasting #test,2024-01-21,1800,156,68,290,28000,8.3,Positive,Product Features,High interest
Instagram,https://instagram.com/post8,Tutorial,5-minute everyday makeup look,#quickmakeup #everyday #routine,2024-01-22,650,38,15,72,7800,10.0,Neutral,Lifestyle,Moderate engagement
Facebook,https://facebook.com/post9,Product Demo,New eyeshadow palette swatches,#eyeshadow #palette #swatches,2024-01-23,280,12,3,18,2500,12.5,Positive,Product Launch,Low reach
TikTok,https://tiktok.com/post10,UGC,Makeup artist using our products,#mua #professional #artist,2024-01-24,4500,380,210,820,68000,8.7,Positive,Professional Use,Excellent performance
Instagram,https://instagram.com/post11,Tutorial,Smokey eye step by step,#smokeyeye #tutorial #evening,2024-01-25,420,28,8,45,4200,11.9,Negative,Education,Mixed feedback
Facebook,https://facebook.com/post12,UGC,Real customer testimonials compilation,#testimonials #reviews #trust,2024-01-26,180,8,2,12,1800,11.1,Neutral,Social Proof,Low engagement overall
